Business Name,Business ID,Review Count,Business Rating,Price Range
Bootlegger's On Broadway,KhsxSQnY3yUHDQFZKAn1Rw,84,3.0,$$
Junior's Bar and Grill,z3tHun25PCe_4bHuI4U-uA,85,3.5,$$
The Local 217 Taproom & Kitchen,ciTAVrBu4jtnP6ItMlfqlw,66,3.5,$$
The Horses Lounge,og6s7s1Jd7jNuSc46zuDgA,20,4.0,$$
Muza,U_wLGkq86qyd8yzpKyFswg,117,4.5,$$
Normanside Dining,vugyptkVq0j573H1CHQRmQ,19,4.0,$$
151 Bar & Restaurant,5OhSm_EENt5AWn-ZOOaw_A,68,3.5,$$
Jazanea's Bar And Grill,fyNRthboY1-fGVS054_GBA,2,2.5,
Quigley's,EETihgOH_wtCWZdx3sHXiA,16,2.5,$
Backstage Pub,TgAMn5mAxww3QyR8owLkGQ,43,4.0,$$
Marisa's Place,OGpWKTlBIPyEq6iIFzCFnA,84,4.0,$
Katie O'Byrne's,FmnjhHx6qsm4MPPb94qz9g,105,4.0,$$
Wolff's Biergarten,ZOPxUGU4UFpINgjKUq4a-Q,41,3.0,$$
Via Entertainment,UQx9U8SvRljaTmSYdTu4wA,22,2.0,$$
Partridge Pub Ofc,p84_3gVNLJWsg2Nw2UuMAQ,2,1.0,
99 Restaurants,ErFFhrAgAR0Y1vTzHm8kbw,63,3.5,$$
Karma Bistro,kUdrcQSlLIDTl76s5zqNlw,3,5.0,
Provence Restaurant & Wine Bar,LLNewgRjdyf9SFvHZobW9Q,119,3.5,$$$
711 Sports Grill,OAtiUU_EZUY1CCvU4PrcEA,3,2.5,$$
Pinhead Susan's,EIfe3sa5IYXh5zLGNSIY6A,65,3.0,$$
Sake Bon,t6lnaQlyc0wvX_XWcekzxQ,49,4.5,$$
Mark's Grill,ejq2Pi3ef0x-JKP4tkUvSQ,5,4.0,$$
Stoney's Irish Grill,794O9ptEhnweINe8Ro9ugQ,34,4.0,$$
donnie magoos,ibq-gxx3hXcEc6WT_LwzRQ,12,4.0,
Dukes Chophouse,DoApf8WzhYHSqLPdrHnbxA,79,3.5,$$$
Andy's Place,HlF7ldsZJGgAy7G3WTaLbQ,14,3.0,$
Rustic Barn Pub,jeH_ca8vOTBT2nDy4Bttgw,28,4.0,$$
Shaker Ridge County Club,ku45kYbTwIujKDLmwy4HHg,1,5.0,
Pam's Pub,Vb_srWd00ObFHNd_JQFIGw,17,3.0,$
Swifty's Restaurant & Pub,n4197svD4KOlUSn6Yxs85w,88,3.5,$$
McAddy's Pub,s6mQMDuaTa1Bn5baAIsoHA,15,4.0,$$
Jonathan's Pizza,URqP0ZY4yJ21HZ4MLGjDKw,23,3.0,$
